Date,Hr_End,DA_Demand,Dry_Bulb
27/01/2021,21,15012.4,31
27/01/2021,22,13703.2,31
27/01/2021,23,12661.0,31
27/01/2021,24,11953.7,30
28/01/2021,1,11981.0,30
28/01/2021,2,11829.4,30
28/01/2021,3,11890.4,29
28/01/2021,4,11963.8,29
28/01/2021,5,12367.2,28
28/01/2021,6,12639.0,28
28/01/2021,7,13692.7,28
28/01/2021,8,14791.1,28
28/01/2021,9,14888.3,28
28/01/2021,10,15036.3,28
28/01/2021,11,14566.7,28
28/01/2021,12,14498.3,28
28/01/2021,13,14416.7,29
28/01/2021,14,14373.7,30
28/01/2021,15,14395.8,29
28/01/2021,16,14788.2,29
28/01/2021,17,15796.7,29
28/01/2021,18,17020.8,27
28/01/2021,19,17082.9,24
28/01/2021,20,16429.6,22
28/01/2021,21,16014.4,20
28/01/2021,22,14878.6,19
28/01/2021,23,13712.8,17
28/01/2021,24,12893.5,16
29/01/2021,1,13673.6,14
29/01/2021,2,13523.6,14
29/01/2021,3,13441.7,12
29/01/2021,4,13383.3,11
29/01/2021,5,13490.3,11
29/01/2021,6,14201.7,10
29/01/2021,7,15482.9,8
29/01/2021,8,16445.0,7
29/01/2021,9,16565.2,6
29/01/2021,10,16209.8,7
29/01/2021,11,16116.9,8
29/01/2021,12,15937.9,10
29/01/2021,13,15884.9,12
29/01/2021,14,16011.0,14
29/01/2021,15,16106.5,15
29/01/2021,16,16253.0,17
29/01/2021,17,17052.5,17
29/01/2021,18,18006.8,16
29/01/2021,19,17853.3,15
29/01/2021,20,17400.9,14
29/01/2021,21,16698.1,14
29/01/2021,22,15897.1,13
29/01/2021,23,14719.5,12
29/01/2021,24,13936.1,11
30/01/2021,1,13573.3,10
30/01/2021,2,13613.0,9
30/01/2021,3,13748.7,9
30/01/2021,4,13740.7,8
30/01/2021,5,13719.8,8
30/01/2021,6,13865.2,7
30/01/2021,7,14352.9,6
30/01/2021,8,14848.7,6
30/01/2021,9,15479.6,8
30/01/2021,10,15431.6,10
30/01/2021,11,15198.4,13
30/01/2021,12,15055.3,15
30/01/2021,13,14891.2,17
30/01/2021,14,14527.1,19
30/01/2021,15,14434.7,20
30/01/2021,16,14707.0,21
30/01/2021,17,15718.9,21
30/01/2021,18,16974.9,19
30/01/2021,19,16801.8,18
30/01/2021,20,16438.3,16
30/01/2021,21,15794.0,14
30/01/2021,22,15186.6,14
30/01/2021,23,14266.0,12
30/01/2021,24,13636.1,11
31/01/2021,1,13609.8,10
31/01/2021,2,13605.4,9
31/01/2021,3,13452.9,8
31/01/2021,4,13486.9,6
31/01/2021,5,13681.5,5
31/01/2021,6,13678.8,5
31/01/2021,7,13765.6,4
31/01/2021,8,14444.1,4
31/01/2021,9,15057.3,6
31/01/2021,10,15133.4,10
31/01/2021,11,15132.9,13
31/01/2021,12,14940.9,16
31/01/2021,13,14653.9,18
31/01/2021,14,14427.0,19
31/01/2021,15,14291.0,19
31/01/2021,16,14682.2,21
31/01/2021,17,15576.0,21
31/01/2021,18,16974.0,21
31/01/2021,19,16851.7,20
31/01/2021,20,16442.2,20
31/01/2021,21,15788.1,19
31/01/2021,22,14669.3,19
31/01/2021,23,13584.1,19
31/01/2021,24,13124.2,18
01/02/2021,1,12764.0,18
01/02/2021,2,12488.1,18
01/02/2021,3,12420.9,19
01/02/2021,4,12397.1,18
01/02/2021,5,12662.1,18
01/02/2021,6,13468.0,18
01/02/2021,7,14637.1,19
01/02/2021,8,15561.9,19
01/02/2021,9,16079.4,20
01/02/2021,10,16223.4,20
01/02/2021,11,16395.5,22
01/02/2021,12,16341.9,25
01/02/2021,13,16402.8,26
01/02/2021,14,16168.1,27
01/02/2021,15,16005.8,27
01/02/2021,16,15946.5,27
01/02/2021,17,16475.6,27
01/02/2021,18,17207.6,28
01/02/2021,19,16700.8,28
01/02/2021,20,15781.3,28
01/02/2021,21,15020.4,29
01/02/2021,22,13925.6,29
01/02/2021,23,12830.3,29
01/02/2021,24,12041.5,29
02/02/2021,1,11607.4,30
02/02/2021,2,11262.2,30
02/02/2021,3,11277.4,30
02/02/2021,4,11299.2,31
02/02/2021,5,11519.1,31
02/02/2021,6,11843.3,31
02/02/2021,7,13018.5,31
02/02/2021,8,14158.8,31
02/02/2021,9,14847.1,31
02/02/2021,10,15297.7,31
02/02/2021,11,15354.9,31
02/02/2021,12,15581.5,31
02/02/2021,13,15567.5,31
02/02/2021,14,15392.4,31
02/02/2021,15,15332.2,32
02/02/2021,16,15500.6,32
02/02/2021,17,15971.1,32
02/02/2021,18,16786.9,32
02/02/2021,19,16199.7,32
02/02/2021,20,15397.4,32
02/02/2021,21,14630.9,31
02/02/2021,22,13742.0,31
02/02/2021,23,12679.5,31
02/02/2021,24,11772.3,30
03/02/2021,1,11661.8,30
03/02/2021,2,11353.5,30
03/02/2021,3,11409.8,29
03/02/2021,4,11396.1,29
03/02/2021,5,11398.9,29
03/02/2021,6,12007.1,28
03/02/2021,7,13511.1,29
03/02/2021,8,14451.1,28
03/02/2021,9,14880.7,28
03/02/2021,10,15020.3,30
03/02/2021,11,15033.4,31
03/02/2021,12,15041.5,32
03/02/2021,13,14862.1,33
03/02/2021,14,14634.6,33
03/02/2021,15,14667.6,34
03/02/2021,16,14842.1,34
03/02/2021,17,15639.2,33
03/02/2021,18,16415.9,33
03/02/2021,19,16281.3,32
03/02/2021,20,15380.6,31
03/02/2021,21,14643.3,31
03/02/2021,22,13696.2,31
03/02/2021,23,12402.9,30
03/02/2021,24,11599.6,30
04/02/2021,1,12446.6,30
04/02/2021,2,12331.1,29
04/02/2021,3,12265.9,29
04/02/2021,4,12240.9,29
04/02/2021,5,12250.4,29
04/02/2021,6,12894.5,29
04/02/2021,7,14344.9,29
04/02/2021,8,15255.4,29
04/02/2021,9,15290.5,29
04/02/2021,10,15079.3,31
04/02/2021,11,14824.9,33
04/02/2021,12,14543.9,35
04/02/2021,13,14578.4,36
04/02/2021,14,14488.9,36
04/02/2021,15,14481.2,36
04/02/2021,16,14512.0,37
04/02/2021,17,15474.4,37
04/02/2021,18,16756.2,35
04/02/2021,19,16848.7,34
04/02/2021,20,16272.2,32
04/02/2021,21,15793.5,30
04/02/2021,22,14896.0,29
04/02/2021,23,13700.0,29
04/02/2021,24,12823.2,27
05/02/2021,1,12863.8,25
05/02/2021,2,12709.0,25
05/02/2021,3,12550.1,25
05/02/2021,4,12482.4,24
05/02/2021,5,12662.0,25
05/02/2021,6,13328.6,24
05/02/2021,7,14823.0,25
05/02/2021,8,15595.6,26
05/02/2021,9,15472.8,27
05/02/2021,10,15154.1,29
05/02/2021,11,15222.9,31
05/02/2021,12,15100.0,35
05/02/2021,13,14943.5,36
05/02/2021,14,14852.9,38
05/02/2021,15,14612.0,39
05/02/2021,16,14635.2,39
05/02/2021,17,15054.9,40
05/02/2021,18,15587.3,39
05/02/2021,19,15545.0,37
05/02/2021,20,14926.5,35
05/02/2021,21,14626.4,34
05/02/2021,22,14053.4,34
05/02/2021,23,12949.9,32
05/02/2021,24,12621.1,33
06/02/2021,1,12326.1,32
06/02/2021,2,12223.1,32
06/02/2021,3,12135.0,32
06/02/2021,4,12128.6,32
